,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.3568336078644425,0.073937345612434,3.744152886451946
S Learner (SVR),0.3396056023476791,0.0716010880922806,3.734588073782158
S Learner (XGB),0.0585388954786139,0.0991405719036062,0.2869051902211315
S learner(GCN),0.2442573234673373,0.0669248688702348,0.1991094976767181
S learner(GCN Equal Weighted),0.0246037049638767,0.2055261805794354,0.5237839231279251
S learner(GCN Causal Weighted),0.0106261198472348,0.1206743974331404,0.3351821775342233
S learner(GAT),0.1725967421756773,0.0837324616229986,0.089259408524842
S learner(GAT Equal Weighted),0.2261160968355129,0.0754064992308375,0.1527143664520115
S learner(GAT Causal Weighted),0.3139610859305337,0.0948835318605584,0.3114794888576304
