,X0,X1,X2,X3,X4,X5,X6,X7,X8,T,y,tau,b,e
0,0.609398545,0.617459265,0.226920926,0.004358649,0.661645627,0.587541579,0.426147526,0.705871989,0.073834457,1,1.006577183,0.613428905,1.409735288,0.9
1,0.83532544,0.171335859,0.723447758,0.643940653,0.351913434,0.923063005,0.628349312,0.513777259,0.865254459,0,2.414744595,0.50333065,1.354386174,0.434631003
2,0.640500046,0.000786253,0.62540232,0.27043649,0.083907012,0.505043013,0.057420153,0.315679155,0.406920013,0,2.194672705,0.320643149,0.345423569,0.1
3,0.108567087,0.594597384,0.530163689,0.261543204,0.733563656,0.454655541,0.623659828,0.301258963,0.325125776,0,0.845496363,0.351582236,0.831558882,0.201414154
4,0.534228635,0.438479935,0.679937528,0.074687294,0.071025947,0.760965011,0.131953285,0.041443569,0.336756788,1,2.220674328,0.486354285,0.84621982,0.671264526
5,0.737343486,0.200311004,0.006068275,0.554313881,0.830256357,0.19511436,0.437738823,0.741828407,0.763684851,0,1.00565238,0.468827245,1.904914168,0.447535011
6,0.40541244,0.432440744,0.943818417,0.017906344,0.919268532,0.98709615,0.973238449,0.719539349,0.069259722,0,4.208270224,0.418926592,1.394837239,0.523347054
7,0.021340871,0.609756637,0.260159575,0.667033121,0.613415437,0.530674026,0.952567609,0.009888429,0.785871633,0,-0.595539372,0.315548754,1.129657034,0.1
8,0.230031931,0.830895049,0.5338121,0.11686647,0.782081748,0.441403852,0.577954384,0.103482351,0.993592421,1,2.28174831,0.53046349,1.075216027,0.565022167
9,0.755820232,0.949271268,0.477979515,0.468423531,0.384171827,0.756654768,0.414031752,0.697857396,0.192083013,1,-0.626317023,0.85254575,1.437017773,0.775538525
10,0.87231145,0.945138417,0.428577177,0.010399151,0.498030147,0.988751294,0.25710073,0.651821933,0.37160422,0,0.247075294,0.908724934,0.793574156,0.523957492
11,0.17871162,0.85871546,0.833569411,0.312890762,0.497643709,0.105531357,0.506885285,0.137352966,0.305655373,1,0.263560346,0.51871354,1.247905136,0.463655416
12,0.024581527,0.121831778,0.627244896,0.644386104,0.940754419,0.238783868,0.288725164,0.553574548,0.369596336,0,2.038884918,0.073206652,1.156554178,0.1
13,0.385988596,0.58451685,0.521323744,0.315154911,0.811158739,0.376538771,0.847836841,0.79501502,0.270438173,0,1.673746928,0.485252723,1.372564069,0.650920385
14,0.588467823,0.4990379,0.055968497,0.631563466,0.471679036,0.801801205,0.595048864,0.08043341,0.498648902,1,1.51768151,0.543752862,2.0588956,0.797164665
15,0.108080494,0.953320974,0.663739838,0.389010706,0.820112958,0.198106886,0.059020624,0.468845985,0.050794659,1,1.84708938,0.530700734,1.170760732,0.318072078
16,0.5292229,0.067674748,0.593736796,0.291316113,0.724692273,0.410196619,0.805618863,0.792939252,0.395696506,0,0.442269894,0.298448824,0.783514391,0.112278967
17,0.410208393,0.099554272,0.178705555,0.506392645,0.431064763,0.716262777,0.123071246,0.230732727,0.108651222,0,-0.50755102,0.254881332,1.056329953,0.127944685
18,0.970902259,0.061068464,0.819911275,0.772681808,0.29219635,0.520974543,0.558103254,0.766530929,0.712232892,0,2.887121546,0.515985361,1.308660918,0.185194488
19,0.306486825,0.157391182,0.099769111,0.352107457,0.601406367,0.049788543,0.773041393,0.997559375,0.404661565,0,1.268357489,0.231939004,1.124145937,0.150965767
20,0.037775651,0.599727739,0.665108701,0.198143267,0.78997054,0.702251018,0.276193468,0.111275898,0.268562175,0,-0.933027881,0.318751695,0.718763343,0.1
21,0.607737389,0.056389204,0.163557488,0.587954681,0.612757474,0.468321249,0.491585967,0.522708567,0.313604958,0,0.783791898,0.332063297,1.228174519,0.107453973
22,0.801529986,0.949058601,0.946798374,0.513582905,0.709852989,0.422511258,0.144651162,0.63607017,0.923521365,1,2.828974395,0.875294293,1.950711801,0.682944829
23,0.093064808,0.642355236,0.243920127,0.176337351,0.994119915,0.161223294,0.481047611,0.227309704,0.417374835,1,0.484194255,0.367710022,0.991255531,0.186704419
24,0.897923386,0.37913362,0.255859482,0.8806256,0.190176612,0.385736284,0.714152617,0.313326402,0.939831579,1,2.69744787,0.638528503,1.97188421,0.876961119
25,0.604143466,0.738703272,0.425412224,0.123939135,0.499206849,0.143242307,0.911771289,0.801711704,0.626366309,1,1.600891404,0.671423369,1.370463413,0.9
26,0.703415011,0.547144539,0.650934427,0.756835105,0.416601336,0.349113018,0.97733936,0.684765484,0.139320284,1,1.788859569,0.625279775,1.945997413,0.9
27,0.589718127,0.891736608,0.198054733,0.692051859,0.824830939,0.570815307,0.353183219,0.439130163,0.514890494,1,1.239425978,0.740727367,2.283507558,0.9
28,0.346997317,0.083869908,0.874964732,0.570528099,0.571238151,0.426573448,0.213132309,0.861127981,0.694480791,1,1.808722148,0.215433613,1.228645569,0.1
29,0.596732082,0.468852746,0.449434527,0.735500603,0.690437801,0.994366859,0.831734876,0.609215339,0.106421788,0,1.022264488,0.532792414,1.855904689,0.770071451
30,0.575812084,0.842245884,0.946393161,0.90047835,0.160923375,0.383989418,0.120601705,0.946621829,0.665260951,0,1.817171488,0.709028984,2.378359971,0.9
31,0.836952125,0.421306063,0.635642098,0.999553406,0.081669635,0.806820668,0.398840269,0.888546828,0.255324424,1,2.035252109,0.629129094,1.971889047,0.894703267
32,0.559017027,0.183746963,0.765463912,0.907627056,0.974624636,0.078018893,0.374817251,0.893231198,0.994389022,0,1.839951755,0.371381995,1.853007157,0.317125607
33,0.679205009,0.180222382,0.450389106,0.749555381,0.281930518,0.882232157,0.789576479,0.495164621,0.898758341,1,2.363826308,0.429713695,1.270590629,0.375147508
34,0.848215493,0.415848043,0.446822532,0.176672985,0.194082922,0.757719671,0.309009029,0.92311874,0.803616287,1,0.19807301,0.632031768,1.174235761,0.894865629
35,0.300218985,0.933038704,0.833824626,0.045973564,0.708985091,0.785161897,0.195375261,0.630619584,0.606161117,1,2.98790256,0.616628845,1.394089221,0.77074535
36,0.239314652,0.120989387,0.428900523,0.582584834,0.177986485,0.310335794,0.093783768,0.240042962,0.058848451,1,-1.442254388,0.18015202,0.772526305,0.1
37,0.52560359,0.118522252,0.685418819,0.016789809,0.087948343,0.416149823,0.728394628,0.571516461,0.543290703,0,0.369799755,0.322062921,0.323985109,0.194460852
38,0.383125854,0.964100273,0.505782352,0.824837966,0.792891164,0.790666713,0.158062898,0.285906497,0.640846541,1,3.500577436,0.673613064,2.138319394,0.9
39,0.851992364,0.913442358,0.330768342,0.920589058,0.698813739,0.35814139,0.689745054,0.577889206,0.337374985,1,1.312461337,0.882717361,1.968934933,0.641660297
40,0.480846196,0.43109036,0.339073265,0.903782788,0.691631517,0.661982231,0.290581554,0.407216542,0.467232515,0,1.682770186,0.455968278,1.907546543,0.606153168
41,0.581597717,0.460959058,0.626666015,0.769364265,0.915439236,0.203275199,0.669160281,0.579973355,0.645321632,1,1.393620679,0.521278388,2.00530759,0.746135149
42,0.832193759,0.813325101,0.977303344,0.079660462,0.372172811,0.082741186,0.923347999,0.67148751,0.014409871,1,1.976174087,0.82275943,1.5709827,0.849598868
43,0.013906723,0.529043485,0.706507144,0.135547879,0.562322169,0.780419829,0.158248924,0.502585188,0.205161806,0,0.105342305,0.271475104,0.525110824,0.1
44,0.098423434,0.291675113,0.559401683,0.713326542,0.02238529,0.611767194,0.466262856,0.341342465,0.31556112,0,2.355192723,0.195049273,0.821641887,0.1
45,0.164621106,0.226834192,0.811022658,0.080645149,0.493365999,0.239261705,0.148899154,0.694734303,0.635513325,0,1.122554166,0.195727649,0.637841838,0.117043502
46,0.655986999,0.284736065,0.66109073,0.659192599,0.24519217,0.233467571,0.994602242,0.464719277,0.113107541,0,0.450733111,0.470361532,1.387385463,0.553696332
47,0.575808596,0.258221839,0.032336288,0.384082356,0.924481462,0.226879068,0.057146657,0.453041482,0.244693193,0,1.489346609,0.417015217,1.734051296,0.450309514
48,0.295932373,0.022677547,0.195246176,0.823506316,0.833149843,0.167437165,0.407850616,0.214933125,0.961051705,1,0.488722077,0.15930496,1.446912754,0.1
49,0.742913696,0.495648489,0.97430658,0.167464186,0.498391158,0.754595491,0.645685508,0.921875897,0.585201267,1,0.57921194,0.619281092,1.782117771,0.9
50,0.416046831,0.062070617,0.947455381,0.672682068,0.261098894,0.544776985,0.318479806,0.216486058,0.443117153,0,0.546711425,0.239058724,1.284704561,0.1
51,0.73986873,0.20133698,0.620334087,0.755689627,0.149608158,0.279515133,0.995538923,0.320630737,0.521385529,0,-0.842155716,0.470602855,1.310539457,0.451085167
52,0.321640908,0.151561206,0.18433771,0.499031859,0.845520718,0.706900764,0.07157225,0.377216762,0.346603329,0,0.271992615,0.236601057,1.273626879,0.152549297
53,0.721166198,0.779926589,0.099244063,0.922808535,0.68538093,0.972278362,0.840763525,0.158882985,0.760196731,1,2.391956768,0.750546394,2.567521456,0.9
54,0.633080933,0.013554406,0.777549727,0.472337271,0.105801201,0.123165897,0.688022657,0.841384629,0.776853503,0,0.724704587,0.323317669,0.706260428,0.1
55,0.60651529,0.073141365,0.965072538,0.942083639,0.569052171,0.703656818,0.048812195,0.584260482,0.315175301,0,2.272496298,0.339828327,1.798109264,0.138914608
56,0.074289889,0.017091815,0.874212048,0.429080233,0.601614793,0.163169652,0.920901832,0.842542557,0.107150504,0,0.188477544,0.045690852,1.013945968,0.1
57,0.187652081,0.76952253,0.357808643,0.265393607,0.821941973,0.880813655,0.61213426,0.487878637,0.748171742,1,1.983261015,0.478587306,1.155054077,0.438252719
58,0.156368506,0.824493724,0.339815586,0.086068616,0.756077961,0.758947671,0.744916847,0.291768454,0.679275176,1,1.387035933,0.490431115,0.90947144,0.39404575
59,0.284267554,0.789716637,0.540620978,0.645695273,0.151128382,0.306817421,0.889423846,0.741359524,0.896510931,1,1.305202199,0.536992095,1.372790429,0.648230837
60,0.612153243,0.195120179,0.48942936,0.66122781,0.690982026,0.568433126,0.028022609,0.629058981,0.986484678,1,0.974946211,0.403636711,1.37344062,0.36649832
61,0.784981383,0.924703481,0.581100096,0.066977094,0.571491198,0.145513957,0.386460925,0.536600822,0.141524848,0,2.615171708,0.854842432,1.124494939,0.758617795
62,0.689812575,0.016049877,0.604466544,0.186776214,0.745468401,0.900419208,0.303344231,0.538307434,0.826514086,0,1.289411823,0.352931226,0.61611177,0.1
63,0.116060727,0.946347428,0.837669861,0.376703452,0.531596557,0.276536553,0.150954604,0.02784754,0.596898357,0,0.95824574,0.531204078,1.208790124,0.338246523
64,0.791758524,0.883199436,0.704952997,0.894504052,0.914966683,0.182272347,0.322155368,0.80885295,0.295330347,1,0.784683153,0.83747898,2.246342064,0.810343209
65,0.110121614,0.841777372,0.944293241,0.998660834,0.26932614,0.698943223,0.157320644,0.360070298,0.337467407,0,2.384595559,0.475949493,1.81523697,0.2871201
